Número Consecutivo,Título,Autor,Sinopsis,Género,Año,URL Preview
1109,La etica del pensamiento - Michel Foucault,"Foucault, Michel","Conjunto de textos que exploran la relación entre la libertad, la verdad y la moralidad intelectual.",Ensayo,2015,https://drive.google.com/file/d/1PvBcEC2vmnMOE-1KfV33c3w-uy8bqYYk/preview
1110,La gran extranjera - Michel Foucault,"Foucault, Michel",Reflexiones sobre la literatura y la locura a través de autores como Sade y Artaud.,Ensayo,1964,https://drive.google.com/file/d/1V6vgZqTl831tNbYlkg7Kk4_LxBrLQ0pA/preview
1111,La inquietud de si - Michel Foucault,"Foucault, Michel","Tercer volumen de su estudio sobre la sexualidad, enfocado en el cultivo del alma en Roma.",Ensayo,1984,https://drive.google.com/file/d/1FbsIy50mW25crrQBDUf3D0gEfzigTvTW/preview
1112,La verdad y las formas juridicas - Michel Foucault,"Foucault, Michel",Serie de conferencias que examinan la justicia y la verdad como construcciones sociales e históricas.,Ensayo,1973,https://drive.google.com/file/d/1czlHprKMUpwnTpmqWBNkc1FxkU7kHBkM/preview
1113,La voluntad de saber - Michel Foucault,"Foucault, Michel",Primer tomo de su historia de la sexualidad que cuestiona la hipótesis de la represión victoriana.,Ensayo,1976,https://drive.google.com/file/d/18XjsJVD3aTIHtMN0f5cD0W7Pw-t4GRdc/preview
1114,Las palabras y las cosas - Michel Foucault,"Foucault, Michel",Investigación sobre las estructuras de pensamiento que rigen las ciencias humanas desde el Renacimiento.,Ensayo,1966,https://drive.google.com/file/d/1-DuqKUUQwH5hUYzGdFFh7uARD2E0PHSo/preview
1115,"Nietzsche, Freud, Marx - Michel Foucault","Foucault, Michel",Ensayo que analiza la ruptura interpretativa introducida por los maestros de la sospecha en la modernidad.,Ensayo,1964,https://drive.google.com/file/d/1trNVbbDZrZFgNonAvvKt6WUSJL-lZ2ES/preview
1116,"Obrar mal, decir la verdad_ la funcion de  - Michel Foucault","Foucault, Michel",Estudio sobre la confesión y la verdad en las prácticas jurídicas y religiosas occidentales.,Ensayo,1981,https://drive.google.com/file/d/1TfbS4yhqrPIKHK3y1bq3j_reTBfQ3fFd/preview
1117,Raymond Roussel - Michel Foucault,"Foucault, Michel","Monografía dedicada al escritor vanguardista, explorando los laberintos lógicos y literarios de su obra.",Ensayo,1963,https://drive.google.com/file/d/1uQwPtW9zzhbhhjOBQrKoJvs17d2berXo/preview
1118,Un dialogo sobre el poder y otras conversa - Michel Foucault,"Foucault, Michel","Intercambios que aclaran su visión sobre la biopolítica, las prisiones y la lucha contra el sistema.",Ensayo,1977,https://drive.google.com/file/d/1MV1Gdc6tnLYu4cQvSQ8rAslAV9rdkyAN/preview
1119,Vigilar y castigar - Michel Foucault,"Foucault, Michel",Crónica del nacimiento de la prisión moderna y las técnicas de disciplina que moldean los cuerpos.,Ensayo,1975,https://drive.google.com/file/d/1oKQwpwYQn8-IV0ify3KVPfgPp3yfbuHU/preview
1120,"Yo, Pierre Riviere, habiendo degollado a m - Michel Foucault","Foucault, Michel",Documentación y análisis de un parricidio real que cuestiona los límites entre crimen y locura.,Ensayo,1973,https://drive.google.com/file/d/1d-5pb4wGKf8RkchxCM09wdrESuT13vhC/preview
1121,El hombre en busca de sentido - Viktor Frankl,"Frankl, Viktor",Relato autobiográfico sobre la supervivencia en campos nazis y el desarrollo de la logoterapia existencial.,Ensayo,1946,https://drive.google.com/file/d/11F-Tx9PSuUbduqPzxFT_ylHk_KHQlFcb/preview
1122,El malestar en la cultura - Sigmund Freud,"Freud, Sigmund",Análisis sobre la tensión entre las pulsiones individuales y las restricciones impuestas por la civilización.,Ensayo,1930,https://drive.google.com/file/d/1v15H9dXUTTNYT_-mB-m5ULDIvqTmxtHC/preview
1123,El porvenir de una ilusion - Sigmund Freud,"Freud, Sigmund",Crítica a la religión vista como una neurosis colectiva basada en deseos infantiles de protección.,Ensayo,1927,https://drive.google.com/file/d/13_dIkWIEl92L7yYRBh-O5VYvP-CKGfQ1/preview
1124,Esquema del psicoanalisis y otros escritos - Sigmund Freud,"Freud, Sigmund","Síntesis final de sus teorías sobre el aparato psíquico, la libido y el tratamiento analítico.",Ensayo,1940,https://drive.google.com/file/d/1mzNEEpjl1uoqQIla2sy0GJv1zwZR6aQC/preview
1125,La interpretacion de los suenos - Sigmund Freud,"Freud, Sigmund",Obra fundacional que propone el análisis de los sueños como el camino al inconsciente humano.,Ensayo,1900,https://drive.google.com/file/d/1KE4sG5oGdd-oHFmk-33Ik2ZLsIxkj4lx/preview
1126,Lo inconsciente - Sigmund Freud,"Freud, Sigmund",Estudio teórico que define las leyes que rigen los procesos mentales fuera de la conciencia.,Ensayo,1915,https://drive.google.com/file/d/1tH51UjrbjL6StxI8tMULTKhvC_3U_m5E/preview
1127,Lo siniestro - Sigmund Freud,"Freud, Sigmund","Investigación estética y psicológica sobre aquello que, siendo familiar, nos resulta extrañamente aterrador.",Ensayo,1919,https://drive.google.com/file/d/1Fh7an5mZqndyXTWLRMoClYhzXnHZftiK/preview
1128,Los origenes del psicoanalisis - Sigmund Freud,"Freud, Sigmund",Recopilación de cartas y borradores que muestran la gestación de sus ideas más revolucionarias.,Ensayo,1950,https://drive.google.com/file/d/1OGQEVh_mW5oUkayUyk8nTm-oQKdN96hB/preview
1129,Obras completas - Sigmund Freud,"Freud, Sigmund",Compendio total del pensamiento freudiano que revolucionó la psicología y la cultura del siglo XX.,Ensayo,1948,https://drive.google.com/file/d/1PqMwAK9tXAQ6Bn0Mc65ucg-1xAxoxCV_/preview
1130,Psicoanalisis aplicado y Tecnica psicoanal - Sigmund Freud,"Freud, Sigmund",Tratados sobre la práctica clínica y la interpretación analítica de la cultura y el arte.,Ensayo,1920,https://drive.google.com/file/d/1zLazyLO79GJ-usnnED5XVKPyopVsFyXo/preview
1131,Psicologia de las masas y analisis del yo - Sigmund Freud,"Freud, Sigmund",Análisis de los mecanismos psíquicos que operan en los grupos y la identificación con el líder.,Ensayo,1921,https://drive.google.com/file/d/1354Qp0uwHHc2MB68xkDBt0Xoao8i0eQk/preview
1132,Tomo 6 (1914-1917) - Sigmund Freud,"Freud, Sigmund","Recopilación de ensayos escritos durante la Gran Guerra sobre la vida, la muerte y el trauma.",Ensayo,1914,https://drive.google.com/file/d/1NlnxB3bNMJBBprsIITb5zHaa0Rral7z8/preview
1133,Totem y tabu - Sigmund Freud,"Freud, Sigmund",Estudio que vincula los mitos primitivos con el desarrollo psíquico infantil y el complejo de Edipo.,Ensayo,1913,https://drive.google.com/file/d/1450-PS24D0QSFIAqi3H2_L-1bbyvPszh/preview
1134,Volumen XIX (1923-1925) - Sigmund Freud,"Freud, Sigmund","Textos que introducen la segunda tópica freudiana: el Ello, el Yo y el Superyó.",Ensayo,1923,https://drive.google.com/file/d/1n6-EhAkkIvwCt0DBHXF5gpKXzmBLYsWv/preview
1135,Aura - Carlos Fuentes,"Fuentes, Carlos",Relato gótico sobre un joven que cae en una trampa de juventud y vejez en una mansión.,Novela,1962,https://drive.google.com/file/d/1rD90XfBZLIbipgLQ6nmrkBo50ghImGfE/preview
1136,La muerte de Artemio Cruz - Carlos Fuentes,"Fuentes, Carlos",Un magnate en su lecho de muerte recuerda su ascenso ligado a la traición revolucionaria.,Novela,1962,https://drive.google.com/file/d/1MTplso2H8jhY9r5QvmZS3n4VfbW2EXMx/preview
1137,American Gods - Neil Gaiman,"GAIMAN, NEIL",Un ex convicto se ve envuelto en una guerra entre dioses antiguos y las nuevas deidades modernas.,Fantasía,2001,https://drive.google.com/file/d/1l549txQ6oBBZ1LD6qoCmFU4iRwBHB_Q3/preview
1138,Coraline - Neil Gaiman,"GAIMAN, NEIL",Una niña descubre una puerta a un mundo alternativo donde otra madre desea retenerla para siempre.,Fantasía,2002,https://drive.google.com/file/d/1pnfj2BhrNpvPL0tlisHoU6KqhaFkcq8N/preview
1139,Cien anos de soledad - Gabriel Garcia Marquez,"GARCIA MARQUEZ, GABRIEL","Saga de los Buendía en Macondo, donde la realidad y la magia se entrelazan durante un siglo.",Novela,1967,https://drive.google.com/file/d/1uqEH78cjANRAWTXSq7BcIQRLtbf_4Lf6/preview
1140,El amor en los tiempos del colera - Gabriel Garcia Marquez,"GARCIA MARQUEZ, GABRIEL",Relato sobre la paciencia infinita de Florentino Ariza por recuperar el amor de Fermina Daza.,Novela,1985,https://drive.google.com/file/d/1agsYpo_7W3WtLnX5rpskeJ3Dm96v5z2C/preview
1141,El coronel no tiene quien le escriba - Gabriel Garcia Marquez,"GARCIA MARQUEZ, GABRIEL",Un anciano militar espera inútilmente su pensión mientras sobrevive con dignidad en la pobreza extrema.,Novela,1961,https://drive.google.com/file/d/1hRVwnFtrsBXxKvrVlK8qjC7K4EyybCEV/preview
1142,Buenos presagios (Edicion ilustrada) - Neil Gaiman,"Gaiman, Neil",Un ángel y un demonio unen fuerzas para evitar el Apocalipsis por puro amor a la humanidad.,Fantasía,1990,https://drive.google.com/file/d/1G4eeuVPn2jCq-OJVaThG5kmoh3bxMOXy/preview
1143,Criaturas fantasticas - Neil Gaiman,"Gaiman, Neil","Antología de relatos y poemas que exploran seres legendarios, editada y presentada por el autor.",Antología,2008,https://drive.google.com/file/d/1_QZa-6n77IOfbiWSxgWdPtCjN43Y9ncm/preview
1144,El cementerio sin lapidas y otras historia - Neil Gaiman,"Gaiman, Neil",Colección de cuentos inquietantes que mezclan el horror sutil con la maravilla de lo imaginario.,Cuento,2008,https://drive.google.com/file/d/15X_gh9a8xAwpMVVqAAJBoi9WgLr_fqn3/preview
1145,El libro del cementerio - Neil Gaiman,"Gaiman, Neil","Un niño es criado por fantasmas tras el asesinato de su familia, aprendiendo las leyes de los muertos.",Fantasía,2008,https://drive.google.com/file/d/1lLYRjPXyN04m-XJSTR81WU0tHQJr6PEu/preview
1146,El libro del cementerio [Ilustrado] - Neil Gaiman,"Gaiman, Neil",Edición visual de la historia de Nadie Owens y su crecimiento entre espectros y guardianes.,Fantasía,2008,https://drive.google.com/file/d/19TLdKsWpSue7gM7X3ck77cA4VSqFq99O/preview
1147,El oceano al final del camino - Neil Gaiman,"Gaiman, Neil",Un hombre recuerda su infancia y el encuentro con una familia mágica en una granja cercana.,Novela,2013,https://drive.google.com/file/d/1t8UT1sI872OAc1QJPASd1KTAgo3A2Eqk/preview
1148,El sueno de plata - Neil Gaiman,"Gaiman, Neil",Joey Harker continúa protegiendo el multiverso contra las fuerzas de la magia y la tecnología.,Fantasía,2013,https://drive.google.com/file/d/1NyNwk0R7J14dWtpLvT6AJz2SL9lLQ_Dv/preview
1149,Humo y espejos - Neil Gaiman,"Gaiman, Neil",Primer compendio de narrativa breve que redefine mitos clásicos y cuentos de hadas para adultos.,Cuento,1998,https://drive.google.com/file/d/1uvCyJ3AdqbWeC-PvdNCXvCBOlCR8reYU/preview
1150,Interworld - Neil Gaiman,"Gaiman, Neil",Un joven descubre que puede viajar entre dimensiones y debe unirse a otros 'Joeys' para salvarlas.,Fantasía,2007,https://drive.google.com/file/d/1Me9UkyqJiIloO9IDsvpTDzD91CKUkQ_K/preview
1151,La joven durmiente y el huso - Neil Gaiman,"Gaiman, Neil",Reinvención feminista de cuentos clásicos donde una reina viaja para rescatar a una joven cautiva.,Fantasía,2014,https://drive.google.com/file/d/1CcMrDgxY4clnp-_rcLEs-fUBeU0U72jI/preview
1152,La vista desde las ultimas filas - Neil Gaiman,"Gaiman, Neil","Colección de piezas de no ficción sobre arte, libros, cómics y la importancia de la imaginación.",Ensayo,2016,https://drive.google.com/file/d/1xnTN6zVCY6l1ijRbd7QPEqTU2kDt0N_o/preview
1153,Los hijos de Anansi - Neil Gaiman,"Gaiman, Neil",Fat Charlie descubre que su fallecido padre era el dios araña Anansi y tiene un hermano divino.,Fantasía,2005,https://drive.google.com/file/d/1PZ_LipLq9dHVztUBG140O7gK0r9zLfjI/preview
1154,Material sensible - Neil Gaiman,"Gaiman, Neil",Relatos perturbadores y maravillas literarias que exploran el impacto de la ficción en el alma.,Cuento,2015,https://drive.google.com/file/d/1hI5LenHzCWy7P3ppRKzIk3aA7tGbwz8R/preview
1155,Mitos nordicos - Neil Gaiman,"Gaiman, Neil","Recreación ágil y fiel de las leyendas de Odín, Thor y Loki hasta el Ragnarok.",Mitología,2017,https://drive.google.com/file/d/1eAmEMf0nAiL8cWduZN-c4OX4HXbdan-f/preview
1156,Nada en punto - Neil Gaiman,"Gaiman, Neil",Reflexiones narrativas y poéticas sobre la nada y la creación en un estilo característicamente onírico.,Relato,2013,https://drive.google.com/file/d/1RBuqBKzOk1j7HRaP98jytwjxkmiJvpRm/preview
1157,Neverwhere (Ed 20deg aniversario) - Neil Gaiman,"Gaiman, Neil","Un hombre ordinario cae en el Londres de Abajo, un mundo de parias y magia olvidada.",Fantasía,1996,https://drive.google.com/file/d/178ewcFxQQz0L3feURdkfSAG236_VJ3f0/preview
1158,Neverwhere - Neil Gaiman,"Gaiman, Neil",Travesía por los túneles y cloacas mágicas de una ciudad oculta bajo la superficie londinense.,Fantasía,1996,https://drive.google.com/file/d/1ZINalCVzGF-MMY2CNoAj8-eR0HiEdXtf/preview
1159,Objetos fragiles - Neil Gaiman,"Gaiman, Neil",Compilación de historias que demuestran la fragilidad de la razón humana frente a lo fantástico.,Cuento,2006,https://drive.google.com/file/d/10dgVgP7-Yx_L9fyJYT-mYaxAmEnSC_N2/preview
1160,Stardust - Neil Gaiman,"Gaiman, Neil",Un joven cruza el muro de su pueblo hacia el reino de Faerie para atrapar una estrella caída.,Fantasía,1999,https://drive.google.com/file/d/1n7uTQAuQMtAVzl7j61icPnwiWzGY8k4_/preview
1161,Las venas abiertas de America Latina - Eduardo Galeano,"Galeano, Eduardo",Ensayo histórico que narra el saqueo de recursos y la explotación del continente desde la colonización.,Ensayo,1971,https://drive.google.com/file/d/1nSzOuwmoSoGXDG1ajewzmmVMzvKQB8YU/preview
1162,Relatos de la cacerola_yolanda_garcia,"Garcia, Yolanda","Historias breves sobre la vida doméstica y social, capturando momentos cotidianos con una mirada crítica.",Cuento,2010,https://drive.google.com/file/d/1AiBOvMIHqJ7dopghwBsS1zsxHzGrIjdR/preview
1163,Amor de don Perlimplin con Belisa en su ja - Federico Garcia Lorca,"García Lorca, Federico",Farsa aleluya sobre un hombre maduro que se enamora trágicamente de su joven esposa.,Teatro,1933,https://drive.google.com/file/d/1pewpQnidBJH1a4Md3csTegt-lZqQdY67/preview
1164,Bodas de sangre - Federico Garcia Lorca,"García Lorca, Federico",Tragedia rural sobre el honor y la pasión irrefrenable que culmina en un duelo mortal.,Teatro,1933,https://drive.google.com/file/d/13xx-XN_CY9xYWCJJOa5gq9_UyeLxChUW/preview
1165,Dona Rosita la soltera o el lenguaje de la - Federico Garcia Lorca,"García Lorca, Federico",Drama sobre la espera inútil y el marchitamiento de una mujer atada a una promesa de amor.,Teatro,1935,https://drive.google.com/file/d/1zc26oQcmA7DCbpOsYRrPAPzrIc7QOCVg/preview
1166,El publico - Federico Garcia Lorca,"García Lorca, Federico","Obra vanguardista que explora el teatro del inconsciente, la identidad sexual y la honestidad escénica.",Teatro,1930,https://drive.google.com/file/d/1sPBDElWgBgORKopCgHLtx7DFCy-uvOID/preview
1167,La casa de Bernarda Alba - Federico Garcia Lorca,"García Lorca, Federico",Drama sobre la represión familiar y el luto extremo impuesto por una madre a sus hijas.,Teatro,1936,https://drive.google.com/file/d/1cb-m1LPFDwsXfo79EXXb0Xlynug1uOE8/preview
1168,La zapatera prodigiosa - Federico Garcia Lorca,"García Lorca, Federico",Farsa sobre una joven casada con un zapatero mayor que debe enfrentar las burlas del pueblo.,Teatro,1930,https://drive.google.com/file/d/1jo87oD5WyKbe1BeT2co-ceM7MFUCFLbi/preview
1169,Los titeres de cachiporra - Federico Garcia Lorca,"García Lorca, Federico",Retablo de farsa para títeres que mezcla el humor popular con la lírica lorquiana.,Teatro,1923,https://drive.google.com/file/d/19OT_torhewq32S00y8g0jxlC8k96RXSE/preview
1170,Mariana Pineda - Federico Garcia Lorca,"García Lorca, Federico",Drama histórico sobre la heroína liberal granadina ejecutada por bordar una bandera revolucionaria.,Teatro,1927,https://drive.google.com/file/d/18Ok8FJCmMxX48yeDlNaUHZ9wdsH81x30/preview
1171,Obras completas I - Federico Garcia Lorca,"García Lorca, Federico",Primer volumen que reúne la producción lírica y dramática esencial del poeta andaluz.,Teatro/Poesía,1954,https://drive.google.com/file/d/1oWxilYsyZFSnMQhwx-aeVIKS9ALwxjW0/preview
1172,Obras completas II - Federico Garcia Lorca,"García Lorca, Federico","Continuación de la recopilación de prosas, cartas y dibujos que completan el universo creativo lorquiano.",Varios,1954,https://drive.google.com/file/d/11R9z11hSYffE4uORapV6vcTPu-3SDhMU/preview
1173,Poema del cante jondo - Federico Garcia Lorca,"García Lorca, Federico",Versos inspirados en la música flamenca que capturan el dolor y el misterio del alma andaluza.,Poesía,1931,https://drive.google.com/file/d/1qLeLeW4Y-SxlF4sAVc8g1f-M-onHWYNb/preview
1174,Poesia completa - Federico Garcia Lorca,"García Lorca, Federico",Compendio lírico que abarca desde sus canciones tempranas hasta sus poemas más surrealistas.,Poesía,1980,https://drive.google.com/file/d/1pkITXRSYFjM3R1vwJAfnzfx1oPWFLPmg/preview
1175,Poeta en Nueva York - Federico Garcia Lorca,"García Lorca, Federico",Grito poético contra la deshumanización y el capitalismo observado durante su estancia en la metrópoli.,Poesía,1940,https://drive.google.com/file/d/1OgWi10NQFjzzkXGEkMV9q9X_-z7jJHty/preview
1176,Romancero gitano - Federico Garcia Lorca,"García Lorca, Federico",Canto a la cultura gitana mediante romances que fusionan lo mítico con lo popular.,Poesía,1928,https://drive.google.com/file/d/1G_TeFZpjOBJwn5Tz4IrFZv2FnFrWt7jX/preview
1177,Teatro completo - Federico Garcia Lorca,"García Lorca, Federico","Reunión de todas las piezas dramáticas, desde las farsas tempranas hasta las grandes tragedias.",Teatro,1985,https://drive.google.com/file/d/1T-lWJo1tjRPiJqq6BPimLSeQ8QnKxcq6/preview
1178,Yerma - Federico Garcia Lorca,"García Lorca, Federico",Tragedia sobre una mujer cuya obsesión por la maternidad la lleva a un acto desesperado.,Teatro,1934,https://drive.google.com/file/d/1j_6aUsmq57j6x17FqzlbkK7Cc43TBevs/preview
1179,Cronica de una muerte anunciada - Gabriel Garcia Marquez,"García Márquez, Gabriel",Relato sobre el asesinato de Santiago Nasar en un pueblo donde todos conocían las intenciones homicidas.,Novela,1981,https://drive.google.com/file/d/1F8S5TTVIdosmVprn3YJK83eULnOQva28/preview
1180,Cuando era feliz e indocumentado - Gabriel Garcia Marquez,"García Márquez, Gabriel",Serie de reportajes periodísticos sobre la vida en Caracas y el exilio en Europa.,Crónica,1973,https://drive.google.com/file/d/1k4u6UaNFCWepBmutMjfnp1zpYkoDd2Ox/preview
1181,De Europa y America (1955-1960) - Gabriel Garcia Marquez,"García Márquez, Gabriel",Recopilación de sus artículos de prensa escritos como corresponsal extranjero en diversos países.,Periodismo,1983,https://drive.google.com/file/d/1OPjhwGoVCsK83l0qV5mqY7Ezl0CZoTPD/preview
1182,De viaje por los paises socialistas - Gabriel Garcia Marquez,"García Márquez, Gabriel","Crónica de sus recorridos por la URSS, Polonia y otros estados bajo el bloque comunista.",Crónica,1978,https://drive.google.com/file/d/16dM0ZRZfXj_bzDUpfkw9T7gMwSt82t71/preview
1183,Del amor y otros demonios - Gabriel Garcia Marquez,"García Márquez, Gabriel",Historia de amor trágico entre una niña poseída y un sacerdote en la Cartagena colonial.,Novela,1994,https://drive.google.com/file/d/1AWaDAnjvlmblqJzxCgN6Qb3jI7HUQEf2/preview
1184,Diatriba de amor contra un hombre sentado - Gabriel Garcia Marquez,"García Márquez, Gabriel",Monólogo teatral donde una mujer increpa a su marido ausente mientras celebra sus bodas de plata.,Teatro,1987,https://drive.google.com/file/d/1d0GMtLHmOJZ8Bptpsi_QuXgRuCSJugFP/preview
1185,Doce cuentos peregrinos - Gabriel Garcia Marquez,"García Márquez, Gabriel","Relatos sobre latinoamericanos en Europa que enfrentan situaciones extrañas, melancólicas y a veces mágicas.",Cuento,1992,https://drive.google.com/file/d/1HKRf8sZ4ttpw7TxJzi9MRafexbponUX_/preview
1186,El general en su laberinto - Gabriel Garcia Marquez,"García Márquez, Gabriel",Recreación novelada del último viaje de Simón Bolívar por el río Magdalena hacia su muerte.,Novela histórica,1989,https://drive.google.com/file/d/16mYlYwdb-YXVFomyfsM02U4ld6l2cUuL/preview
1187,El mismo cuento distinto _ El hombre en la - Gabriel Garcia Marquez,"García Márquez, Gabriel",Dos variaciones narrativas sobre el destino y la identidad humana en entornos rurales.,Cuento,1970,https://drive.google.com/file/d/1Djn7m2rdrR_usfdzXnzN7RO7VsmNSpeC/preview
1188,El olor de la guayaba - Gabriel Garcia Marquez,"García Márquez, Gabriel",Conversaciones biográficas y literarias con Plinio Apuleyo Mendoza sobre su vida y el oficio de escribir.,Entrevista,1982,https://drive.google.com/file/d/1_BMKX_a2P0jDAb5nkzmY6Otn6rA3xHdv/preview
1189,El otono del patriarca - Gabriel Garcia Marquez,"García Márquez, Gabriel",Largo monólogo sobre la soledad del poder absoluto a través de la figura de un dictador.,Novela,1975,https://drive.google.com/file/d/1t6SMSoiMfBVkrqgz-_E_Y-VwqhUdm3gv/preview
1190,Entre cachacos (1954-1955) - Gabriel Garcia Marquez,"García Márquez, Gabriel",Artículos de su etapa en El Espectador que retratan la vida social y política de Bogotá.,Periodismo,1982,https://drive.google.com/file/d/16NZkaBY8JNZMfxquWKIKQSJVZbF_DU1R/preview
1191,La aventura de Miguel Littin clandestino e - Gabriel Garcia Marquez,"García Márquez, Gabriel",Reportaje sobre el regreso secreto a Chile del cineasta exiliado para filmar la dictadura de Pinochet.,Reportaje,1986,https://drive.google.com/file/d/1cJumz_2nuJRE9jLbO4DEQPCvtZVyjPOM/preview
1192,La hojarasca - Gabriel Garcia Marquez,"García Márquez, Gabriel",Novela que introduce Macondo a través de tres monólogos durante el entierro de un médico odiado.,Novela,1955,https://drive.google.com/file/d/13YbZV58S_ra1jG0dpNf73oMWYQEkuDUq/preview
1193,La increible y triste historia de la candi - Gabriel Garcia Marquez,"García Márquez, Gabriel",Relatos mágicos sobre una niña explotada por su abuela y otras historias fantásticas.,Cuento,1972,https://drive.google.com/file/d/1DbB8kavDUTJdKF8BqVI2cTZK4tpNky0l/preview
1194,La mala hora - Gabriel Garcia Marquez,"García Márquez, Gabriel",Relato sobre la desestabilización de un pueblo debido a la aparición de pasquines anónimos difamatorios.,Novela,1962,https://drive.google.com/file/d/1ipSd8P46dNtfwp5O6QDeJFMPDWEmzJ80/preview
1195,Los funerales de la Mama Grande - Gabriel Garcia Marquez,"García Márquez, Gabriel",Cuentos que culminan con la apoteósica muerte de la soberana absoluta de Macondo.,Cuento,1962,https://drive.google.com/file/d/1R8aSihZQVyFRhX_Dbxwqqt7bXRGd8-jl/preview
1196,Memoria de mis putas tristes - Gabriel Garcia Marquez,"García Márquez, Gabriel","Un anciano periodista decide regalarse una noche de amor con una virgen, descubriendo el sentimiento tardío.",Novela,2004,https://drive.google.com/file/d/1SHo1ef6W686Vuf395byToCShpvZmjFWJ/preview
1197,Notas de prensa (1961-1984) - Gabriel Garcia Marquez,"García Márquez, Gabriel","Selección de sus columnas de opinión que abordan temas culturales, políticos y cotidianos mundiales.",Periodismo,1991,https://drive.google.com/file/d/1zu-9w4ZDwCY2bx4FiLo6xOkQ_r_athXd/preview
1198,Noticia de un secuestro - Gabriel Garcia Marquez,"García Márquez, Gabriel",Relato periodístico sobre los secuestros cometidos por el narcotráfico en Colombia durante los años noventa.,Reportaje,1996,https://drive.google.com/file/d/1JgipKbAMk1uwAwZjxeRi5KTVK9V9YGGL/preview
1199,Ojos de perro azul - Gabriel Garcia Marquez,"García Márquez, Gabriel","Colección de relatos tempranos que exploran el mundo de los sueños, la muerte y lo irreal.",Cuento,1972,https://drive.google.com/file/d/1VOTT0dBrBxz2i02SMwh1pMLUoiJDQB8w/preview
1200,Por la libre (1974-1995) - Gabriel Garcia Marquez,"García Márquez, Gabriel",Compendio de artículos de prensa que reflejan su compromiso político y su visión de América Latina.,Periodismo,1999,https://drive.google.com/file/d/17q40EZFGQuBHefWkQ2lWDXURMNRmeELL/preview
1201,Relato de un naufrago - Gabriel Garcia Marquez,"García Márquez, Gabriel","Crónica periodística sobre Luis Alejandro Velasco, quien sobrevivió diez días a la deriva en el mar tras caer de un buque militar.",Crónica,1955,https://drive.google.com/file/d/1vLOr9nGoBQlD8QfWaio44JUNoqtn16Rs/preview
1202,Textos costenos (1948-1952) - Gabriel Garcia Marquez,"García Márquez, Gabriel",Recopilación de las primeras colaboraciones periodísticas del autor en diarios como El Universal y El Heraldo de Colombia.,Periodismo,1981,https://drive.google.com/file/d/1HwR4BkrDI1qlxak5Oj7PVPxqWsptbERu/preview
1203,Todos los cuentos - Gabriel Garcia Marquez,"García Márquez, Gabriel","Compendio completo de la narrativa breve del Nobel, incluyendo sus historias en Macondo y relatos de peregrinos.",Cuento,1975,https://drive.google.com/file/d/1eaM-uq-j3pZSK_J8_aIMj2809-wDC_XH/preview
1204,Vivir para contarla - Gabriel Garcia Marquez,"García Márquez, Gabriel","Primer volumen de las memorias del autor, narrando su infancia, juventud y los inicios de su carrera literaria.",Memorias,2002,https://drive.google.com/file/d/1Xvvv7Oq7b8u0S2EqVWD08Mf0ma_CyZJ1/preview
1205,Yo no vengo a decir un discurso - Gabriel Garcia Marquez,"García Márquez, Gabriel",Selección de veintidós textos escritos por el autor para ser leídos en público a lo largo de su vida.,Ensayo,2010,https://drive.google.com/file/d/1IqZyAePgOplrz9FAhZWqRKFR6QhLOhZ_/preview
1206,Fuera de serie - Malcolm Gladwell,"Gladwell, Malcolm","Análisis sobre los factores que llevan al éxito extraordinario, cuestionando la idea del talento puramente individual.",Ensayo,2008,https://drive.google.com/file/d/1i9b_5fz3soVgYRkDl5raqR0NhJn4cO-D/preview
1207,Inteligencia intuitiva - Malcolm Gladwell,"Gladwell, Malcolm",Exploración sobre cómo tomamos decisiones rápidas y eficaces mediante el pensamiento inconsciente y la intuición instantánea.,Ensayo,2005,https://drive.google.com/file/d/1ybu3KzbKp-mNIRazNWznv0lEyR6pMqZd/preview
1208,Fausto-Goethe_Wolfgang__Johann,"Goethe, Wolfgang Johann",Tragedia clásica sobre un erudito que hace un pacto con el diablo para obtener conocimiento y placeres ilimitados.,Teatro,1808,https://drive.google.com/file/d/1a-iaoGalCerEph4OkgM0xmbQzWw_lCtM/preview
1209,La inteligencia emocional - Daniel Goleman,"Goleman, Daniel",Obra revolucionaria que explica la importancia de reconocer y gestionar las emociones para el éxito y el bienestar.,Psicología,1995,https://drive.google.com/file/d/1BBiZtnPeP5pvvqLxNTGmYiKXFr4omQBM/preview
1210,El inversor inteligente - Benjamin Graham,"Graham, Benjamin",Manual clásico sobre inversión en valor que enseña estrategias para minimizar riesgos y obtener beneficios a largo plazo.,Finanzas,1949,https://drive.google.com/file/d/1dWIUHwCLZrXBHY8wMZVjnAgx20gE50HQ/preview
1211,Atlas de geografia humana - Almudena Grandes,"Grandes, Almudena","Cuatro mujeres que trabajan en una editorial comparten sus soledades, deseos y miedos en la España contemporánea.",Novela,1998,https://drive.google.com/file/d/1w-vMTQJtmP087A18S-uj6fE6iztCgxoj/preview
1212,Castillos de carton - Almudena Grandes,"Grandes, Almudena",Historia de un triángulo amoroso entre tres estudiantes de Bellas Artes en el Madrid de los años ochenta.,Novela,2004,https://drive.google.com/file/d/1T-d8tzNIJWFWis7V_nhiDDH_FpXIx9yt/preview
